time,heap,rss,score,score_debug,recent_feature,entire_feature,s_recent:heap,s_recent:rss,s_entire:heap,s_entire:rss
2025-08-26T18:04:02Z,45842432,122421248,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-26T18:04:07Z,47742976,135393280,0.057,0.033,0.0650,0.0000,0.0500,0.0500,0.0000,0.0000
2025-08-26T18:04:12Z,30449664,120745984,0.054,0.031,0.0614,0.0000,0.0472,0.0472,0.0000,0.0000
2025-08-26T18:04:17Z,30556160,120745984,0.051,0.029,0.0579,0.0000,0.0445,0.0445,0.0000,0.0000
2025-08-26T18:04:22Z,42950656,122863616,0.048,0.027,0.0547,0.0000,0.0420,0.0420,0.0000,0.0000
2025-08-26T18:04:27Z,49217536,128831488,0.045,0.026,0.0516,0.0000,0.0397,0.0397,0.0000,0.0000
2025-08-26T18:04:32Z,32858112,120188928,0.043,0.024,0.0487,0.0000,0.0375,0.0375,0.0000,0.0000
2025-08-26T18:04:37Z,35610624,128217088,0.040,0.023,0.0460,0.0000,0.0354,0.0354,0.0000,0.0000
2025-08-26T18:04:42Z,35454976,124878848,0.038,0.022,0.0434,0.0000,0.0334,0.0334,0.0000,0.0000
2025-08-26T18:04:47Z,47308800,126230528,0.036,0.020,0.0409,0.0000,0.0315,0.0315,0.0000,0.0000
2025-08-26T18:04:52Z,41361408,128110592,0.034,0.019,0.0386,0.0000,0.0297,0.0297,0.0000,0.0000
2025-08-26T18:04:57Z,43532288,126722048,0.045,0.026,0.0520,0.0000,0.0281,0.0797,0.0000,0.0000
2025-08-26T18:05:02Z,36831232,128901120,0.043,0.025,0.0491,0.0000,0.0265,0.0753,0.0000,0.0000
2025-08-26T18:05:07Z,36012032,128192512,0.040,0.023,0.0463,0.0000,0.0250,0.0710,0.0000,0.0000
2025-08-26T18:05:12Z,47177728,128733184,0.038,0.022,0.0437,0.0000,0.0236,0.0670,0.0000,0.0000
2025-08-26T18:05:17Z,43261952,128086016,0.050,0.029,0.0574,0.0000,0.0223,0.1170,0.0000,0.0000
2025-08-26T18:05:22Z,39690240,128942080,0.047,0.027,0.0542,0.0000,0.0210,0.1105,0.0000,0.0000
2025-08-26T18:05:27Z,38731776,128811008,0.045,0.026,0.0511,0.0000,0.0198,0.1043,0.0000,0.0000
2025-08-26T18:05:32Z,47251456,130703360,0.057,0.033,0.0650,0.0000,0.0187,0.1543,0.0000,0.0000
2025-08-26T18:05:37Z,40738816,130310144,0.068,0.039,0.0782,0.0000,0.0177,0.2017,0.0000,0.0000
2025-08-26T18:05:42Z,38428672,128212992,0.064,0.037,0.0738,0.0000,0.0167,0.1904,0.0000,0.0000
2025-08-26T18:05:47Z,37175296,126148608,0.061,0.035,0.0697,0.0000,0.0157,0.1797,0.0000,0.0000
2025-08-26T18:05:52Z,46923776,129388544,0.057,0.033,0.0658,0.0000,0.0149,0.1696,0.0000,0.0000
2025-08-26T18:05:57Z,43851776,134766592,0.054,0.031,0.0621,0.0000,0.0140,0.1601,0.0000,0.0000
2025-08-26T18:06:02Z,40673280,132669440,0.051,0.029,0.0586,0.0000,0.0132,0.1511,0.0000,0.0000
2025-08-26T18:06:08Z,38780928,129953792,0.048,0.028,0.0553,0.0000,0.0125,0.1427,0.0000,0.0000
2025-08-26T18:06:13Z,38723584,130224128,0.046,0.026,0.0522,0.0000,0.0118,0.1346,0.0000,0.0000
2025-08-26T18:06:18Z,46546944,131268608,0.043,0.025,0.0493,0.0000,0.0111,0.1271,0.0000,0.0000
2025-08-26T18:06:23Z,41934848,132935680,0.041,0.023,0.0465,0.0000,0.0105,0.1200,0.0000,0.0000
2025-08-26T18:06:28Z,50143232,133476352,0.038,0.022,0.0439,0.0000,0.0099,0.1132,0.0000,0.0000
2025-08-26T18:06:33Z,42958848,128344064,0.049,0.028,0.0558,0.0000,0.0094,0.1548,0.0000,0.0000
2025-08-26T18:06:38Z,41254912,130011136,0.058,0.033,0.0666,0.0000,0.0088,0.1925,0.0000,0.0000
2025-08-26T18:06:43Z,40067072,129949696,0.055,0.031,0.0628,0.0000,0.0083,0.1817,0.0000,0.0000
2025-08-26T18:06:48Z,47128576,132689920,0.052,0.030,0.0593,0.0000,0.0079,0.1715,0.0000,0.0000
2025-08-26T18:06:53Z,41394176,132083712,0.049,0.028,0.0560,0.0000,0.0074,0.1619,0.0000,0.0000
2025-08-26T18:06:58Z,41353216,132083712,0.046,0.026,0.0528,0.0000,0.0070,0.1528,0.0000,0.0000
2025-08-26T18:07:03Z,40730624,132083712,0.044,0.025,0.0499,0.0000,0.0066,0.1442,0.0000,0.0000
2025-08-26T18:07:09Z,49430528,133951488,0.041,0.024,0.0471,0.0000,0.0063,0.1361,0.0000,0.0000
2025-08-26T18:07:14Z,45645824,133902336,0.039,0.022,0.0444,0.0000,0.0059,0.1285,0.0000,0.0000
2025-08-26T18:07:19Z,40099840,133902336,0.037,0.021,0.0419,0.0000,0.0056,0.1213,0.0000,0.0000
2025-08-26T18:07:24Z,52699136,133869568,0.035,0.020,0.0396,0.0000,0.0053,0.1145,0.0000,0.0000
2025-08-26T18:07:29Z,39788544,130711552,0.033,0.019,0.0374,0.0000,0.0050,0.1080,0.0000,0.0000
2025-08-26T18:07:34Z,45531136,132644864,0.045,0.026,0.0515,0.0000,0.0047,0.1560,0.0000,0.0000
